id	extent	pages	description	type	rights	identifier	format	date	coverage	publisher	language	contributor	title	creator
28142151X	345 p	345	1900265910␟dea␟ps␟NB068-2002␟nt				Language material	1967		Verviers : (Gérard)	fre	Krellstein, Paul	Einstein - Sa vie, sa pensée, ses théories	Kuznecov, Boris Grigorevič
144639610	94 S	94					Language material	1967		London : British Broadcasting Corporation	eng		Einstein - the man and his achievement	Einstein, Albert (1879-1955)
369212487	1 Online-Ressource	1				978-1-4831-5287-5	Language material	1980			eng	Einstein, Albert (1879-1955)	Einstein - the first hundred years	
15791609X	48 p	48					Language material	1979		Washington, D.C : Smithsonian Institution Press	eng	National Museum of American History,	Einstein - a centenary exhibition	
43815326X	110 pages	110	"La couv. porte en plus : ""Basé sur des documents rares d'importance historique""␟Bibliogr. p. 110. Index␟Einstein, the life of a genius␟Carlton Books"	Biographies		978-2-89523-901-7 (rel)␟2-89523-901-0 (rel)	Language material	2016			fre	Einstein, Albert (1879-1955) [dédicataire]	Einstein - la vie d'un génie	Isaacson, Walter (1952-...) [auteur]
28142117X	240 S	240					Language material	1922		Berlin : Fontane u. Co	ger	Einstein, Albert	Einstein - Einblicke in seine Gedankenwelt : gemeinverständliche Betrachtungen über die Relativitätstheorie und ein neues Weltsystem	Moszkowski, Alexander
289162882	64 p	64					Language material	1964		Paris : Gauthier-Villars	fre	Einstein, Albert	Einstein - extraits de la théorie de la relativité restreinte..., exposé élémentaire	Montias, Henri
289337828	635 S	635	Personenregister␟Sachregister	Biografie		3-492-22303-6	Language material	1996		München Zürich : R. Piper	ger		Einstein - der Weltweise und sein Jahrhundert : eine Biographie	Hermann, Armin
335835171	121 S	121	Cop. (Zitate): The Hebrew University, Jerusalem␟Enthält zahlr. Zitate von Albert Einstein␟1900156545␟wne				Language material	1984		Corte Madera, Calif : Pomegranate Artbooks	eng	Einstein, Albert (1879-1955)␟Winokur, Mark	Einstein - a portrait	
281421145	240 S	240	Mit handschriftlichen Anmerkungen von Karl Ballmer␟1900495596␟dea␟ps␟NB058-2000␟nt				Language material	1921		Hamburg : Hoffmann & Campe Berlin : F. Fontane	ger	Einstein, Albert (1879-1955)	Einstein - Einblicke in seine Gedankenwelt. Gemeinverständliche Betrachtungen über die Relativitätstheorie und ein neues Weltsystem	Moszkowski, Alexander
